,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,4.543173789978027,0.6932266193333885,1.433834155400594,0.01975138427333073,1,4,sigmoid,"{'C': 1, 'degree': 4, 'kernel': 'sigmoid'}",-1.1751193762094054,-1.2345278387106884,-1.2216535058285172,-1.2104335735828704,0.025518052614953008,37
21,3.6004302501678467,0.10241927111126053,0.4881893793741862,0.07284247292334983,1,5,poly,"{'C': 1, 'degree': 5, 'kernel': 'poly'}",-0.14071021125758773,-0.14092751880030102,-0.1477336045755828,-0.14312377821115718,0.003260846513268716,15
22,2.275089661280314,0.21553743618570564,1.3468262354532878,0.08591295330647973,1,5,rbf,"{'C': 1, 'degree': 5, 'kernel': 'rbf'}",-0.1432412623861891,-0.1420723163821952,-0.14751471993552068,-0.1442760995679683,0.002339245619696949,22
23,3.7453415393829346,0.03848157482540267,1.4411282539367676,0.08906914067774646,1,5,sigmoid,"{'C': 1, 'degree': 5, 'kernel': 'sigmoid'}",-1.1751193762094054,-1.2345278387106884,-1.2216535058285172,-1.2104335735828704,0.025518052614953008,37
24,5.596917311350505,0.768995139984255,0.6107677618662516,0.11554820549793597,10,2,poly,"{'C': 10, 'degree': 2, 'kernel': 'poly'}",-0.1406662762795398,-0.13998708585848002,-0.14618936207462208,-0.14228090807088065,0.0027775690128283943,10
25,3.0541609128316245,0.4283940238714677,1.4286565780639648,0.3732938220289952,10,2,rbf,"{'C': 10, 'degree': 2, 'kernel': 'rbf'}",-0.13961933438685353,-0.13917461550089658,-0.14523322986286077,-0.14134239325020362,0.0027572209295686004,1
26,3.8052457173665366,0.09155173233189456,1.497005303700765,0.020157294992591793,10,2,sigmoid,"{'C': 10, 'degree': 2, 'kernel': 'sigmoid'}",-11.801522702443526,-12.597643607226642,-12.177289446021668,-12.192151918563946,0.3251848639115135,41
27,5.44538426399231,0.3042368259079919,0.4511503378550212,0.03546898185281116,10,3,poly,"{'C': 10, 'degree': 3, 'kernel': 'poly'}",-0.14052558002509002,-0.14178699640890363,-0.14730875810619942,-0.14320711151339768,0.002945665901231828,18
28,2.2355043093363443,0.05421241097232512,1.2376879056294758,0.08527053714234524,10,3,rbf,"{'C': 10, 'degree': 3, 'kernel': 'rbf'}",-0.13961933438685353,-0.13917461550089658,-0.14523322986286077,-0.14134239325020362,0.0027572209295686004,1
29,3.7733877499898276,0.0576805682984741,1.6210447152455647,0.10975300952494313,10,3,sigmoid,"{'C': 10, 'degree': 3, 'kernel': 'sigmoid'}",-11.801522702443526,-12.597643607226642,-12.177289446021668,-12.192151918563946,0.3251848639115135,41
